#,品牌ID,品牌名称,城市,平台,日期,门店ID,门店名称,GMV,下单人数,商家实收,商户补贴,平台补贴,无效订单数,曝光人数,有效订单数,进店人数
122,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-18,8223184,大宁店,0,,0,0,0,0,,0,
123,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-18,8106681,怒江路店,0,,0,0,0,0,,0,
124,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-18,8260331,大世界店,0,,0,0,0,0,,0,
125,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-19,8165842,虹口足球场店,0,,0,0,0,0,,0,
126,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-19,8184590,五角场店,0,,0,0,0,0,,0,
127,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-19,8052557,真如店,0,,0,0,0,0,,0,
128,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-19,8223184,大宁店,0,,0,0,0,0,,0,
129,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-19,8106681,怒江路店,0,,0,0,0,0,,0,
130,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-19,8260331,大世界店,0,,0,0,0,0,,0,
131,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-20,8165842,虹口足球场店,0,,0,0,0,0,,0,
132,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-20,8184590,五角场店,0,,0,0,0,0,,0,
133,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-20,8052557,真如店,0,,0,0,0,0,,0,
134,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-20,8223184,大宁店,0,,0,0,0,0,,0,
135,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-20,8106681,怒江路店,0,,0,0,0,0,,0,
136,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-20,8260331,大世界店,0,,0,0,0,0,,0,
137,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-21,8165842,虹口足球场店,0,,0,0,0,0,,0,
138,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-21,8184590,五角场店,0,,0,0,0,0,,0,
139,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-21,8052557,真如店,0,,0,0,0,0,,0,
140,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-21,8223184,大宁店,0,,0,0,0,0,,0,
141,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-21,8106681,怒江路店,0,,0,0,0,0,,0,
142,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-21,8260331,大世界店,0,,0,0,0,0,,0,
143,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-22,8165842,虹口足球场店,0,,0,0,0,0,,0,
144,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-22,8184590,五角场店,0,,0,0,0,0,,0,
145,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-22,8052557,真如店,0,,0,0,0,0,,0,
146,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-22,8223184,大宁店,0,,0,0,0,0,,0,
147,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-22,8106681,怒江路店,0,,0,0,0,0,,0,
148,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-22,8260331,大世界店,0,,0,0,0,0,,0,
149,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-23,8165842,虹口足球场店,0,,0,0,0,0,,0,
150,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-23,8184590,五角场店,0,,0,0,0,0,,0,
151,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-23,8052557,真如店,0,,0,0,0,0,,0,
152,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-23,8223184,大宁店,0,,0,0,0,0,,0,
153,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-23,8106681,怒江路店,0,,0,0,0,0,,0,
154,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-23,8260331,大世界店,0,,0,0,0,0,,0,
155,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-24,8165842,虹口足球场店,0,,0,0,0,0,,0,
156,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-24,8184590,五角场店,0,,0,0,0,0,,0,
157,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-24,8052557,真如店,0,,0,0,0,0,,0,
158,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-24,8223184,大宁店,0,,0,0,0,0,,0,
159,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-24,8106681,怒江路店,0,,0,0,0,0,,0,
160,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-24,8260331,大世界店,0,,0,0,0,0,,0,
161,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-25,8165842,虹口足球场店,0,,0,0,0,0,,0,
162,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-25,8184590,五角场店,0,,0,0,0,0,,0,
163,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-25,8052557,真如店,0,,0,0,0,0,,0,
164,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-25,8223184,大宁店,0,,0,0,0,0,,0,
165,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-25,8106681,怒江路店,0,,0,0,0,0,,0,
166,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-25,8260331,大世界店,0,,0,0,0,0,,0,
167,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-26,8165842,虹口足球场店,0,,0,0,0,0,,0,
168,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-26,8184590,五角场店,0,,0,0,0,0,,0,
169,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-26,8052557,真如店,0,,0,0,0,0,,0,
170,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-26,8223184,大宁店,0,,0,0,0,0,,0,
171,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-26,8106681,怒江路店,0,,0,0,0,0,,0,
172,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-26,8260331,大世界店,0,,0,0,0,0,,0,
173,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-27,8165842,虹口足球场店,0,,0,0,0,0,,0,
174,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-27,8184590,五角场店,0,,0,0,0,0,,0,
175,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-27,8052557,真如店,0,,0,0,0,0,,0,
176,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-27,8223184,大宁店,0,,0,0,0,0,,0,
177,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-27,8106681,怒江路店,0,,0,0,0,0,,0,
178,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-27,8260331,大世界店,0,,0,0,0,0,,0,
179,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-28,8165842,虹口足球场店,0,,0,0,0,0,,0,
180,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-28,8184590,五角场店,0,,0,0,0,0,,0,
181,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-28,8052557,真如店,0,,0,0,0,0,,0,
182,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-28,8223184,大宁店,0,,0,0,0,0,,0,
183,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-28,8106681,怒江路店,0,,0,0,0,0,,0,
